Date,Open,High,Low,Close,sqrt(close),change,unemployment,,
4/25/97,"6,738.87","6,826.77","6,681.08","6,738.87",82.09062066,,,,
4/24/97,"6,792.25","6,923.90","6,742.89","6,792.25",82.41510784,,,,
4/23/97,"6,812.72","6,902.23","6,746.50","6,812.72",82.53920281,,,,
4/22/97,"6,833.59","6,858.08","6,628.50","6,833.59",82.66553091,,,,
4/21/97,"6,660.21","6,768.17","6,594.38","6,660.21",81.61010967,,,,
4/18/97,"6,703.55","6,749.71","6,616.46","6,703.55",81.87520992,,,,
4/17/97,"6,658.60","6,750.91","6,600.80","6,658.60",81.6002451,,,,
4/16/97,"6,679.87","6,708.77","6,506.08","6,679.87",81.73047167,,,,
4/15/97,"6,587.16","6,626.09","6,457.92","6,587.16",81.16132084,,,,
4/14/97,"6,451.90","6,487.22","6,315.84","6,451.90",80.32372003,,,,
4/11/97,"6,391.69","6,529.48","6,358.42","6,391.69",79.94804563,,,,
4/10/97,"6,540.05","6,626.91","6,495.48","6,540.05",80.87057561,,,,
4/9/97,"6,563.84","6,662.41","6,521.16","6,563.84",81.01752897,,,,
4/8/97,"6,609.16","6,638.62","6,491.71","6,609.16",81.2967404,,,,
4/7/97,"6,555.91","6,639.00","6,508.70","6,555.91",80.96857415,,,,
4/4/97,"6,526.07","6,561.57","6,376.90","6,526.07",80.78409497,,,,
4/3/97,"6,477.35","6,540.43","6,379.16","6,477.35",80.48198556,,,,
4/2/97,"6,517.01","6,636.73","6,476.60","6,517.01",80.7280001,,,,
4/1/97,"6,611.05","6,667.70","6,482.64","6,611.05",81.30836365,-0.093584102,5.1,,
3/31/97,"6,583.48","6,743.23","6,532.49","6,583.48",81.13864677,,,,
3/27/97,"6,740.59","6,918.47","6,654.86","6,740.59",82.10109622,,,,
3/26/97,"6,880.70","6,954.72","6,811.21","6,880.70",82.94998493,,,,
3/25/97,"6,876.17","6,984.94","6,832.74","6,876.17",82.92267482,,,,
3/24/97,"6,905.25","6,933.58","6,746.63","6,905.25",83.09783391,,,,
3/21/97,"6,804.79","6,890.52","6,742.85","6,804.79",82.49115104,,,,
3/20/97,"6,820.28","6,901.47","6,765.14","6,820.28",82.58498653,,,,
3/19/97,"6,877.68","6,944.15","6,794.22","6,877.68",82.93177919,,,,
3/18/97,"6,896.56","6,997.40","6,841.05","6,896.56",83.04552968,,,,
3/17/97,"6,955.48","7,004.20","6,820.28","6,955.48",83.39952038,,,,
3/14/97,"6,935.46","6,996.27","6,851.19","6,935.46",83.27940922,,,,
3/13/97,"6,878.89","7,023.59","6,852.72","6,878.89",82.93907402,,,,
3/12/97,"7,039.37","7,111.72","6,988.96","7,039.37",83.90095351,,,,
3/11/97,"7,085.16","7,158.28","7,026.28","7,085.16",84.17339247,,,,
3/10/97,"7,079.39","7,103.25","6,970.10","7,079.39",84.139111,,,,
3/7/97,"7,000.89","7,047.07","6,927.00","7,000.89",83.67132125,,,,
3/6/97,"6,944.70","7,017.05","6,896.60","6,944.70",83.33486665,,,,
3/5/97,"6,945.85","6,966.64","6,836.95","6,945.85",83.34176624,,,,
3/4/97,"6,852.72","6,983.95","6,814.63","6,852.72",82.78115728,,,,
3/3/97,"6,918.92","6,957.01","6,798.46","6,918.92",83.18004568,0.035820586,5.2,,
2/28/97,"6,877.74","6,978.18","6,820.78","6,877.74",82.93214093,,,,
2/27/97,"6,925.07","7,028.59","6,885.44","6,925.07",83.21700547,,,,
2/26/97,"6,983.18","7,076.31","6,878.12","6,983.18",83.56542347,,,,
2/25/97,"7,038.21","7,099.79","6,935.08","7,038.21",83.89404031,,,,
2/24/97,"7,008.20","7,049.76","6,868.50","7,008.20",83.71499268,,,,
2/21/97,"6,931.62","6,984.72","6,869.27","6,931.62",83.25635111,,,,
2/20/97,"6,927.38","7,035.91","6,890.82","6,927.38",83.23088369,,,,
2/19/97,"7,020.13","7,112.87","6,980.87","7,020.13",83.78621605,,,,
2/18/97,"7,067.46","7,084.39","6,946.62","7,067.46",84.06818661,,,,
2/14/97,"6,988.96","7,074.77","6,935.85","6,988.96",83.6,,,,
2/13/97,"7,022.44","7,074.39","6,924.30","7,022.44",83.8,,,,
2/12/97,"6,961.63","6,976.64","6,844.26","6,961.63",83.43638295,,,,
2/11/97,"6,858.11","6,887.36","6,756.90","6,858.11",82.81370659,,,,
2/10/97,"6,806.54","6,908.14","6,771.14","6,806.54",82.50175756,,,,
